code,shortName,longName,mass,comment
06MSM,06MSM,Maßschuhmacherin/Maßschuhmacher FR Maßschuhe,211,3j.
06MSS,06MSS,Maßschuhmacherin/Maßschuhmacher FR Schaftbau,211,3j.
06MOD,06MOD,Modistin/Modist,211,3j.
06OPÄ,06OPÄ,Orthopädieschuhmacherin/Orthopädieschuhmacher,211,"3,5j."
06PMT,06PMT,Produktionsmechanikerin Textil/Produktionsmechaniker Textil,211,3j.
06PVT,06PVT,Produktveredlerin Textil/Produktveredler Textil,211,3j.
06SA1,06SA1,Sattlerin/Sattler Fachrichtung Fahrzeugsattlerei,211,3j.
06SA2,06SA2,Sattlerin/Sattler Fachrichtung Feintäschnerei,211,3j.
06SA3,06SA3,Sattlerin/Sattler Fachrichtung Reitsportsattlerei,211,3j.
06SUF,06SUF,Schuhfertigerin/Schuhfertiger,211,3j.
06SEG,06SEG,Segelmacherin/Segelmacher,211,3j.
06SEI,06SEI,Seilerin/Seiler,211,3j.
06TKF,06TKF,Technische Konfektionärin/Technischer Konfektionär,211,3j.
06TMN,06TMN,Textil- und Modenäherin/Textil- und Modenäher,211,2j.
06TMS,06TMS,Textil- und Modeschneiderin/Textil- und Modeschneider,211,3j.
07BIL,07BIL,Biologielaborantin/Biologielaborant,213,"3,5j."
07CIL,07CIL,Chemielaborantin/Chemielaborant,213,"3,5j."
07CHK,07CHK,Chemikantin/Chemikant,213,"3,5j."
07CLW,07CLW,Chemielaborjungwerkerin/Chemielaborjungwerker,213,2j.
07FAT,07FAT,Fachkraft für Abwassertechnik,213,"3j., auslaufend (ab 2024)"
07FKA,07FKA,Fachkraft für Kreislauf- und Abfallwirtschaft,213,"3j., auslaufend (ab 2024)"
07FRI,07FRI,"Fachkraft für Rohr-, Kanal- und Industrieservice",213,"3j., auslaufend (ab 2024)"
07FWT,07FWT,Fachkraft für Wasserversorgungstechnik,213,"3j., auslaufend (ab 2024)"
07FO1,07FO1,Fotografin/Fotograf Schwerpunkt Portraitfotografie,213,3j.
07FO2,07FO2,Fotografin/Fotograf Schwerpunkt Produktfotografie,213,3j.
07FO3,07FO3,Fotografin/Fotograf Schwerpunkt Wissenschaftsfotografie,213,3j.
07FO4,07FO4,Fotografin/Fotograf Schwerpunkt Industrie- und Architekturfotografie,213,3j.
07GBR,07GBR,Gebäudereinigerin/Gebäudereiniger,213,3j.
07LAL,07LAL,Lacklaborantin/Lacklaborant,213,"3,5j."
07MIL,07MIL,Milchwirtschaftliche Laborantin/Milchwirtschaftlicher Laborant,213,3j.
07PHY,07PHY,Physiklaborantin/Physiklaborant,213,"3,5j."
07PCH,07PCH,Produktionsfachkraft Chemie,213,2j.
07TRF,07TRF,Textilreinigerin/Textilreiniger,213,2j.
07UTA,07UTA,Umwelttechnologin/Umwelttechnologe für Abwasserbewirtschaftung,213,"3j., neu ab 08/2024"
07UTK,07UTK,Umwelttechnologin/Umwelttechnologe für Kreislauf- und Abfallwirtschaft,213,"3j., neu ab 08/2024"
07UTR,07UTR,Umwelttechnologin/Umwelttechnologe für Rohrleitungsnetze und Industrieanlagen,213,"3j., neu ab 08/2024"
07UTW,07UTW,Umwelttechnologin/Umwelttechnologe für Wasserversorgung,213,"3j., neu ab 08/2024"
08BUB,08BUB,Buchbinderin/Buchbinder,215,3j.
08MFD,08MFD,Maschinen- und Anlagenführerin/-führer Schwerpunkt Druckweiter- und Papierverarbeitung,215,2j.
08MBT,08MBT,Mediengestalterin/Mediengestalter Bild und Ton,215,3j.
08ME5,08ME5,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Beratung und Planung,215,"3j., 
auslaufend (ab 2023)"
08ME7,08ME7,Mediengestalterin/Mediengestalter Digital und Print Fachrichtung Gestaltung und Technik,215,"3j., 
auslaufend (ab 2023)"
